QUADRO DE CONTROLE DE OBRA;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
;;;;;;;;;
;;;Obra: ;Complexo Alto Tietê - OAE Marginal - fase 02;;;P3931;;
;;;Estrada: ;SP-021 - Rodoanel Mário Covas - Leste;;;;;
;;;km / estaca: ;km 114+600 ao  km 117+000;;;;;
N;FOL / CÓD.;REV.;ASSUNTO;;R0;R1;R2;R3;R4
;;;;;;;;;
92;AB-SPM00021D-114.117-825-C01-092;;Formas - Seções e detalhes do apoio 172;;;;;;
93;AB-SPM00021D-114.117-825-C01-093;;Formas - Seções e detalhes do apoio 173;;;;;;
94;AB-SPM00021D-114.117-825-C01-094;0;Formas - Seções e detalhes do apoio 174;;2026-03-27 00:00:00;;;;
95;AB-SPM00021D-114.117-825-C01-095;0;Formas - Seções e detalhes do apoio 175;;2026-03-27 00:00:00;;;;
96;AB-SPM00021D-114.117-825-C01-096;0;Formas - Seções e detalhes do apoio 176;;2026-03-27 00:00:00;;;;
97;AB-SPM00021D-114.117-825-C01-097;0;Formas - Seções e detalhes do apoio 177;;2026-03-27 00:00:00;;;;
98;AB-SPM00021D-114.117-825-C01-098;0;Formas - Seções e detalhes do apoio 178;;2026-03-27 00:00:00;;;;
99;AB-SPM00021D-114.117-825-C01-099;0;Formas - Seções e detalhes do apoio 179;;2026-03-27 00:00:00;;;;
100;AB-SPM00021D-114.117-825-C01-100;0;Formas - Seções e detalhes do apoio 180;;2026-03-27 00:00:00;;;;
101;AB-SPM00021D-114.117-825-C01-101;0;Formas - Seções e detalhes do apoio 181;;2026-03-27 00:00:00;;;;
102;AB-SPM00021D-114.117-825-C01-102;0;Formas - Seções e detalhes do apoio 182;;2026-03-27 00:00:00;;;;
103;AB-SPM00021D-114.117-825-C01-103;0;Formas - Plantas - apoios 1 a 21;;2025-12-01 00:00:00;;;;
104;AB-SPM00021D-114.117-825-C01-104;0;Formas - Plantas - apoios 21 a 45;;2026-02-06 00:00:00;;;;
105;AB-SPM00021D-114.117-825-C01-105;0;Formas - Plantas - apoios 45 a 68;;2026-03-05 00:00:00;;;;
106;AB-SPM00021D-114.117-825-C01-106;;Formas - Plantas - apoios 68 a 87;;;;;;
107;AB-SPM00021D-114.117-825-C01-107;;Formas - Plantas - apoios 87 a 111;;;;;;
108;AB-SPM00021D-114.117-825-C01-108;;Formas - Plantas - apoios 111 a 135;;;;;;
109;AB-SPM00021D-114.117-825-C01-109;0;Formas - Plantas - apoios 135 a 159;;2026-03-27 00:00:00;;;;
110;AB-SPM00021D-114.117-825-C01-110;0;Formas - Plantas - apoios 159 a 177;;2026-03-27 00:00:00;;;;
111;AB-SPM00021D-114.117-825-C01-111;0;Formas - Plantas - apoios 177 a 182;;2026-03-27 00:00:00;;;;
112;AB-SPM00021D-114.117-825-C01-112;1;Implantação - Planta, elevação e sondagens - apoios 177 a 182;;2026-02-20 00:00:00;2026-03-27 00:00:00;;;
113;AB-SPM00021D-114.117-825-C01-113;0;Formas - Seções e detalhes do apoio 94;;2026-02-17 00:00:00;;;;
114;AB-SPM00021D-114.117-825-C01-114;0;Formas - Seções e detalhes do apoio 78 (pórtico sinalização);;2026-02-17 00:00:00;;;;
115;AB-SPM00021D-114.117-825-C01-115;;Formas - Seções e detalhes do apoio 109 (pórtico sinalização);;;;;;
116;AB-SPM00021D-114.117-825-C01-116;;Formas - Seções e detalhes do apoio 134 (pórtico sinalização);;;;;;
117;AB-SPM00021D-114.117-825-C01-117;;Cablagem viga pré-moldada de 31.10m  (vãos 68, 669 e 70);;;;;;
118;AB-SPM00021D-114.117-825-C01-118;;Armadura suplementar da viga pré-moldada de 31.10m (vãos 68, 69 e 70);;;;;;
119;AB-SPM00021D-114.117-825-C01-119;;Cablagem viga pré-moldada de 28.35m  (vão 68);;;;;;
120;AB-SPM00021D-114.117-825-C01-120;;Armadura suplementar da viga pré-moldada de 28.35m (vão 68);;;;;;
121;AB-SPM00021D-114.117-825-C01-121;;Cablagem viga pré-moldada de 25.60m  (vão 68);;;;;;
122;AB-SPM00021D-114.117-825-C01-122;;Armadura suplementar da viga pré-moldada de 25.60m (vão 68);;;;;;
123;AB-SPM00021D-114.117-825-C01-123;;Cablagem viga pré-moldada de 22.85m  (vão 68);;;;;;
124;AB-SPM00021D-114.117-825-C01-124;;Armadura suplementar da viga pré-moldada de 22.85m (vão 68);;;;;;
125;AB-SPM00021D-114.117-825-C01-125;;Cablagem viga pré-moldada de 22.85m  (vão 68);;;;;;
126;AB-SPM00021D-114.117-825-C01-126;;Armadura suplementar da viga pré-moldada de 22.8m (vão 68);;;;;;
127;AB-SPM00021D-114.117-825-C01-127;;Cablagem viga pré-moldada de 20.00m  (vão 71);;;;;;
128;AB-SPM00021D-114.117-825-C01-128;;Armadura suplementar da viga pré-moldada de 20.00m (vão 71);;;;;;
129;AB-SPM00021D-114.117-825-C01-129;;Cablagem viga pré-moldada de 22.50m  (vão 71);;;;;;
130;AB-SPM00021D-114.117-825-C01-130;;Armadura suplementar da viga pré-moldada de 22.50m (vão 71);;;;;;
131;AB-SPM00021D-114.117-825-C01-131;;Cablagem viga pré-moldada de 25.00m  (vão 71);;;;;;
132;AB-SPM00021D-114.117-825-C01-132;;Armadura suplementar da viga pré-moldada de 25.00m (vão 71);;;;;;
133;AB-SPM00021D-114.117-825-C01-133;;Cablagem viga pré-moldada de 27.50m  (vão 71);;;;;;
134;AB-SPM00021D-114.117-825-C01-134;;Armadura suplementar da viga pré-moldada de 27.50m (vão 71);;;;;;
135;AB-SPM00021D-114.117-825-C01-135;;Cablagem viga pré-moldada de 30.00m  (vão 71);;;;;;
