assunto;nome;fase;projetista;path;tipo_doc;obra;trecho;codigo;materia;materia_num;pagina;revisao;rev_num;rev_suf;revisao_status;tipo_arquivo
Memorial descritivo - Cadastro de Interferências;MD-SPM00021D-115.117-925-I01/001;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/MD-SPM00021D-115.117-925-I01_001.R1a.pdf;MD;SPM00021D;115.117;925;I;01;001;R1a;1;a;NOVO;pdf
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/001;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Projeto de interferência/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-I01_001.R2.dwg;DE;SPM00021D;115.117;925;I;01;001;R2;2;;NOVO;dwg
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/001;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Projeto de interferência/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-I01_001.R2.pdf;DE;SPM00021D;115.117;925;I;01;001;R2;2;;NOVO;pdf
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/002;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Projeto de interferência/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-I01_002.R2.dwg;DE;SPM00021D;115.117;925;I;01;002;R2;2;;NOVO;dwg
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/002;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Projeto de interferência/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-I01_002.R2.pdf;DE;SPM00021D;115.117;925;I;01;002;R2;2;;NOVO;pdf
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/003;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Projeto de interferência/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-I01_003.R2.dwg;DE;SPM00021D;115.117;925;I;01;003;R2;2;;NOVO;dwg
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/003;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Projeto de interferência/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-I01_003.R2.pdf;DE;SPM00021D;115.117;925;I;01;003;R2;2;;NOVO;pdf
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/004;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Projeto de interferência/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-I01_004.R2.dwg;DE;SPM00021D;115.117;925;I;01;004;R2;2;;NOVO;dwg
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/004;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Projeto de interferência/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-I01_004.R2.pdf;DE;SPM00021D;115.117;925;I;01;004;R2;2;;NOVO;pdf
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/005;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Projeto de interferência/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-I01_005.R2.dwg;DE;SPM00021D;115.117;925;I;01;005;R2;2;;NOVO;dwg
